NAME;URL;VALUE;
ALLG-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST;141.13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALLG-B.ST
MSON-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-A.ST;140.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-A.ST
AGES-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST;140.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGES-B.ST
AUTO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;140.19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST
CLA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST;139.93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST
SKA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKA-B.ST;139.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKA-B.ST
HM-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST;139.38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST
NGS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGS.ST;139.23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGS.ST
CFISH.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;138.08;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST
SWED-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWED-A.ST;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWED-A.ST
DDM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;137.86;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST
AXIC-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;137.11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST
ICA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST;136.47;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST
FIRE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIRE.ST;136.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIRE.ST
GPX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST;136.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST
XACT-SMABOLAG.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-SMABOLAG.ST;135.63;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-SMABOLAG.ST
TGATE.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TGATE.NGM;135.62;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TGATE.NGM
SJR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SJR-B.ST;135.49;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SJR-B.ST
AXFO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;135.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST
SCA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-B.ST;134.35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCA-B.ST
SCST.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCST.ST;133.85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SCST.ST
ASSA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;133.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST
AAC-TO1.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST;133.41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AAC-TO1.ST
NICKE.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICKE.NGM;132.91;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NICKE.NGM
XSPX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XSPX.ST;132.37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XSPX.ST
DIOS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;132.12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST
HOLM-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-A.ST;132.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-A.ST
MINEST.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MINEST.ST;131.89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MINEST.ST
SWMA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWMA.ST;130.39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWMA.ST
ELOS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST;130.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST
AMAST-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST;130.06;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AMAST-PREF.ST
ALCA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST;129.58;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALCA.ST
SEB-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-A.ST;129.57;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEB-A.ST
HEIM-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEIM-PREF.ST;129.17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEIM-PREF.ST
EDGE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;128.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST
MEAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEAB-B.ST;127.9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEAB-B.ST
ERIC-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;127.83;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST
SONE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SONE.ST;127.73;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SONE.ST
IPCO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IPCO.ST;127.54;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IPCO.ST
CATE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;127.47;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST
SOF-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;126.89;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST
HIFA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST;126.7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST
CORE-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;126.65;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST
KLOV-PREF.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-PREF.ST;126.45;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-PREF.ST
CAT-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST;126.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST
SEYE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEYE.ST;125.28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEYE.ST
RTC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RTC.ST;124.4;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RTC.ST
GAPW-TO-1B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-TO-1B.ST;124.3;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-TO-1B.ST
BONAV-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST;124.03;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONAV-B.ST
