NAMESHORT;NAME;URL;VALUE
ZAPLOX.ST;ZAPLOX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZAPLOX.ST;128.69
BULTEN.ST;BULTEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BULTEN.ST;128.65
HIQ.ST;HIQ INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIQ.ST;128.51
FRISQ.ST;FRISQ HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRISQ.ST;128.47
BIOS.ST;BIOSERVO TECHNOLOGIES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOS.ST;128.4
CAMX.ST;CAMURUS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;128.26
STAR-A.ST;STARBREEZE A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-A.ST;128.05
NTEK-B.ST;NOVOTEK B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NTEK-B.ST;127.86
ARISE.ST;ARISE AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;127.67
NXTMS.ST;NEXSTIM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;127.67
QLRO.ST;QLIRO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;127.54
LIFCO-B.ST;LIFCO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST;127.5
NOBINA.ST;NOBINA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBINA.ST;127.18
SEZI.ST;SENZIME;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEZI.ST;127.1
TETY.ST;TETHYS OIL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TETY.ST;127.07
ACAD.ST;ACADEMEDIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAD.ST;126.87
EDGE.ST;EDGEWARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;126.6
DDM.ST;DDM HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DDM.ST;126.53
NDX.ST;NORDAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDX.ST;126.42
MSC-B.ST;MSC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSC-B.ST;126.26
OBDU-B.NGM;OBDUCAT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBDU-B.NGM;126.1
CASO.ST;CASSANDRA OIL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST;126.08
AVEG-B.ST;AVEGA GROUP ser. B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEG-B.ST;126.04
GTGS.NGM;GOLD TOWN GAMES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;125.89
MSON-B.ST;MIDSONA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSON-B.ST;125.74
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;125.41
LLSW-B.ST;LIGHTLAB SWE B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LLSW-B.ST;124.97
MCAP.ST;MEDCAP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MCAP.ST;124.59
ABB.ST;ABB LTD N;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ABB.ST;124.08
MIPS.ST;MIPS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIPS.ST;124.08
BEIJ-B.ST;BEIJER REF AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST;124.06
SKF-B.ST;SKF B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKF-B.ST;124.05
