NAMESHORT;NAME;URL;VALUE;NAME_NORDNET
SWEC-A.ST;SWECO A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-A.ST;268.83;
KLOV-B.ST;KLOVERN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-B.ST;266.61;
DIGN.ST;DIGNITANA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;266.03;
NOLA-B.ST;NOLATO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;265.39;
RECI-B.ST;RECIPHARM AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RECI-B.ST;263.59;
FRNT-B.NGM;FRONTOFFICE NORDIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;263.23;
MSC-B.ST;MSC GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSC-B.ST;262.73;
KIND-SDB.ST;KINDRED GROUP SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST;260.92;
RATO-A.ST;RATOS A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-A.ST;260.03;
PCAT.ST;PHOTOCAT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCAT.ST;257.14;
EWRK.ST;EWORK GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;255.84;
PROF-B.ST;PROFILGRUPPEN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST;254.65;
AM1S.ST;AHLSTROM-MUNKSJO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;254.6;
ICTA-B.ST;INTELLECTA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICTA-B.ST;254.14;
XBRANE.ST;XBRANE BIOPHARMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XBRANE.ST;253.9;
JM.ST;JM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST;252.68;
LUPE.ST;LUNDIN PETROLEUM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUPE.ST;252.54;
VICP.ST;VICTORIA PARK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP.ST;251.61;
CANTA.ST;CANTARGIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;251.46;
KINV-A.ST;KINNEVIK A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST;250.11;
AOI.ST;AFRICA OIL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;250.1;
OBDU-B.NGM;OBDUCAT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OBDU-B.NGM;249.52;
HIQ.ST;HIQ INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIQ.ST;249.4;
PLED.ST;PLED PHARMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PLED.ST;248.25;
ACM.ST;A CITY MEDIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;247;
GHUS-B.ST;GOTENEHUS GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST;246.37;
GOMX.ST;GOMSPACE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;246.26;
LLSW-B.ST;LIGHTLAB SWE B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LLSW-B.ST;245.95;
VERI.ST;VERISEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VERI.ST;245.68;
DOXA.ST;DOXA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;244.73;
ORES.ST;INVESTMENT OERESUND;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORES.ST;244.66;
IRLAB-A.ST;IRLAB THERAPEUTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IRLAB-A.ST;244.25;
NEXAM.ST;NEXAM CHEMICAL HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEXAM.ST;243.74;
THQN-B.ST;THQ NORDIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THQN-B.ST;243.73;
SAAB-B.ST;SAAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAAB-B.ST;243.23;
SEZI.ST;SENZIME;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEZI.ST;241.92;
SVOL-B.ST;SVOLDER B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-B.ST;241.1;
SBB-B.ST;SAMHALLSBYGGNADSBOLAGET I NORDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SBB-B.ST;238.69;
TREL-B.ST;TRELLEBORG B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TREL-B.ST;238.66;
NOBINA.ST;NOBINA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBINA.ST;238.5;
CAT-B.ST;CATELLA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;237.85;
ENEA.ST;ENEA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;237.76;
DIST.ST;DISTIT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;237.46;
CLEANT-A.ST;CLEANTECH INVEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEANT-A.ST;234.96;
XVIVO.ST;XVIVO PERFUS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XVIVO.ST;234.1;
KLOV-A.ST;KLOVERN A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-A.ST;233.79;
LAUR.ST;LAURITZ.COM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAUR.ST;232.63;
SAGA-A.ST;SAGAX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-A.ST;232.49;
