FRIM.ST;ROBERT FRIMAN INTERNATIONAL;STAY LONG;3.94;4.02;3.7;3.96;0.51;15,886
FRISQ.ST;FRISQ HOLDING;STAY IN CASH;19.9;19.9;17.5;18.2;-1.62;8,991
FRNT-B.NGM;FRONTOFFICE NORDIC B;STAY LONG;3.3;3.3;3.3;3.3;6.45;660
G5EN.ST;G5 ENTERTAINMENT;STAY IN CASH;399;410;397;398.5;-0.13;93,914
GAPW-B.ST;GAPWAVES;STAY LONG;14.2;14.25;13.9;13.9;0.72;18,276
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;STAY IN CASH;3;3.18;3;3;0;5,89
GARO.ST;GARO;STAY IN CASH;248;248;240;244;-1.21;15,767
GCOR.ST;GAMING CORPS;STAY LONG;0.53;0.53;0.449;0.459;-15;1,458,892
GENO.ST;GENOVIS B;STAY LONG;3.12;3.14;3.05;3.12;-0.32;46,09
GETI-B.ST;GETINGE B;STAY LONG;147.6;148;146.6;146.6;-0.68;1,145,503
GHP.ST;GHP SPECIALTY CARE;STAY IN CASH;9.25;9.25;9.05;9.25;0;26,463
GHUS-B.ST;GOTENEHUS GROUP B;STAY IN CASH;5.85;5.95;5.85;5.85;0.86;49,264
GOMX.ST;GOMSPACE GROUP;STAY LONG;59.5;72;58.5;70;15.7;999,255
GPG-PREF.ST;GENOVA PROPERTY GROUP PRF;SELL;125;125;124.5;124.5;-0.2;1,034
GPX.ST;GASPOROX;STAY IN CASH;11.7;11.7;11.4;11.6;5.45;1,16
GREAT.ST;GREATER THAN;STAY IN CASH;19.7;19.7;19.5;19.5;3.17;1,77
GRNG.ST;GRANGES;STAY LONG;88.5;89.75;87.75;88.75;0.57;161,712
GTAB B;GLYCOREX TRANSPLANTATION B;BUY;2.58;2.69;2.56;2.67;2.69;45,745
GTGS.NGM;GOLD TOWN GAMES;STAY SHORT;2.4;2.4;2.1;2.27;-5.42;92,101
GUGEO.NGM;GUIDELINE GEO;STAY LONG;12.2;12.2;11.8;12.2;-1.61;2,85
GUNN.ST;GUNNEBO;STAY SHORT;41;41.2;40.5;40.7;-1.21;72,653
GWS.ST;GWS PRODUCTION;SELL;4.4;4.45;4.26;4.26;-3.18;14,899
HANC-PREF-A.ST;HANCAP PRF;STAY LONG;33.8;33.9;33.5;33.5;1.52;4,439
HANZA.ST;HANZA HOLDING;STAY IN CASH;11.4;11.4;11.2;11.2;0;21,969
HAV-B.ST;HAVSFRUN INVESTMENT B;STAY SHORT;18.9;18.9;18.8;18.9;0;142
HEBA-B.ST;HEBA FASTIGHETS B;STAY IN CASH;111;112;111;112;0.9;321
HEIM-PREF.ST;HEIMSDATEN PRF;STAY IN CASH;317;318;316.5;316.5;0;369
